FACE_ID,Date,Start_Time,Batch_Number,Fines_kg,Fines_Moisture_,Coarse_kg,Coarse_Moisture_,Cement_kg,Water_kg,Cement:Water_Ratio,Cubic_M,Superplasticiser_kg,Accelerator_,Fibre_kg,Additive_1_kg,Add_1_Fines_kg,Add_1_Coarse_kg,Add_1_Cement_kg,Add_1_Water_kg,Add_1_Superplasticiser_kg,Add_2_Fines_kg,Add_2_Coarse_kg,Add_2_Cement_kg,Add_2_Water_kg,Add_2_Superplasticiser_kg
RUP_1075_662_DEC_14,2022-11-03,10:58:00,1.0,4000.0,,2000.0,,1350.0,500.0,0.37037037037037035,3.1927223719676547,16.0,4.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_14,2022-11-04,02:30:00,1.0,3050.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.4455525606469,12.0,3.5,6.0,,,,,50.0,,,,,50.0,
RUP_1025_45_MBAY_01,2022-11-04,11:50:00,1.0,4000.0,,2000.0,,1800.0,300.0,0.16666666666666666,3.135579514824798,16.0,4.0,8.0,,,,,100.0,,,,,,
RUP_1025_983_DEC_69,2022-11-04,14:30:00,1.0,4000.0,,2000.0,,1800.0,380.0,0.2111111111111111,3.215579514824798,16.0,4.0,8.0,,,,,20.0,,,,,,
RUP_1025_983_DEC_69,2022-11-04,14:35:00,2.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,4.0,8.0,,,,,20.0,,,,,,
RUP_1025_983_DEC_70,2022-11-06,15:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,3.6,8.0,,,,,,,,,,,
RUP_1075_662_DEC_18,2022-11-07,17:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,3.5,8.0,,,,,20.0,,,,,,
RUP_1025_983_DEC_71,2022-11-08,13:20:00,1.0,4050.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2544474393530995,16.0,4.0,8.0,,,,,20.0,,,,,,
RUP_1075_662_DEC_19,2022-11-09,02:15:00,1.0,4700.0,,,,250.0,60.0,0.24,1.9129499850254568,6.0,4.0,0.5,,,,,,,,,,,
RUP_1075_662_DEC_19,2022-11-09,04:50:00,2.0,4000.0,,7000.0,,1800.0,400.0,0.2222222222222222,5.122371967654987,12.0,4.0,6.0,,,,,,,,,,,
RUP_1075_775_MBAY_01,2022-11-11,12:55:00,1.0,3000.0,,1500.0,,135.0,420.0,3.111111111111111,2.1609703504043125,9.0,3.5,6.0,,200.0,,140.0,40.0,,,,,,
RUP_1075_775_MBAY_02,2022-11-12,12:50:00,1.0,4000.0,,2000.0,,1800.0,510.0,0.2833333333333333,3.3455795148247978,12.0,4.0,8.0,,,,,,,,,,,
RUP_1075_775_MBAY_03,2022-11-13,15:15:00,1.0,4000.0,,2000.0,,1800.0,505.0,0.28055555555555556,3.340579514824798,12.0,4.0,8.0,,,,,,,,,,,
RUP_1075_775_MBAY_04,2022-11-15,02:00:00,1.0,4000.0,,2000.0,,1800.0,660.0,0.36666666666666664,3.495579514824798,16.0,4.0,8.0,,,,,,,,,,,
RUP_1075_775_MBAY_05,2022-11-16,03:00:00,1.0,4000.0,,2000.0,,1800.0,580.0,0.32222222222222224,3.415579514824798,16.0,4.0,8.0,,,,,,,,,,,
RUP_1075_775_MBAY_05,2022-11-16,04:30:00,2.0,2000.0,,1000.0,,900.0,300.0,0.3333333333333333,1.7177897574123988,8.0,3.5,4.0,,,,,,,,,,,
RUP_1025_452_SMP_01,2022-11-16,18:35:00,1.0,4000.0,,2000.0,,1800.0,460.0,0.25555555555555554,3.295579514824798,12.0,3.5,8.0,,,,,,,,,,,
